name,n,wr,avg,pf,comp,mdd
P01_tail_near|b0|rk_volr|tp35,94,46.808510638297875,-0.25171702127659573,0.8330491008398558,-24.86641690406497,-44.02156208624386
P01_tail_near|b35|rk_clv|tp35,61,42.622950819672134,-0.24538852459016391,0.8294534516742813,-16.34881783744745,-27.254531835820117
P10_ma60|b0|rk_volr|tp35,103,46.601941747572816,-0.2703135922330097,0.8229767835173464,-28.31677865545892,-47.07989034062089
P18_ql_tight|b0|rk_score|tp35,49,55.10204081632653,-0.25282040816326523,0.821076987070609,-13.769212294094235,-23.765185709595805
P24_sweet_tight|b0|rk_score|tp35,95,37.89473684210526,-0.21725157894736846,0.8197233514376605,-21.12643367257506,-36.52415273684707
P24_sweet_tight|b35|rk_score|tp4,60,36.666666666666664,-0.2111766666666667,0.8167518746971922,-13.558832474986392,-28.09529285228931
P08_cap10|b0|rk_score|tp35,98,42.857142857142854,-0.2811867346938775,0.8138429964222792,-27.65449987445421,-45.155526270589064
P08_cap10|b35|rk_volr|tp35,63,44.44444444444444,-0.27967460317460313,0.8075501044742048,-18.61380969355755,-34.80784789255333
P11_ma120|b0|rk_volr|tp35,97,46.391752577319586,-0.3025484536082474,0.8021967356314401,-29.140905351784262,-41.480215098583685
P28_mild_r1|b40|rk_score|tp4,55,43.63636363636363,-0.24424727272727273,0.797859662216658,-14.19261055715123,-26.62323851283149
P13_r1band|b35|rk_score|tp35,60,36.666666666666664,-0.26392666666666664,0.780099899045585,-16.39982020674733,-30.222682233188447
P04_tight3|b35|rk_volr|tp35,69,53.6231884057971,-0.4316768115942029,0.7747599436780757,-29.424670130427945,-48.11179221291218
P24_sweet_tight|b40|rk_score|tp3,52,38.46153846153846,-0.27158846153846156,0.7667228278823919,-14.42477938739204,-25.618280904890987
P24_sweet_tight|b35|rk_score|tp35,60,36.666666666666664,-0.27283666666666667,0.7632465344315166,-16.557140769856225,-29.452513597737873
P12_no_ma_long|b0|rk_volr|tp35,113,44.24778761061947,-0.3643495575221239,0.7608418848946105,-37.41853880943437,-51.914469428595545
P15_turn38|b0|rk_score|tp35,75,44.0,-0.34885466666666665,0.7589530842905523,-25.703265440153523,-36.07027791917437
P24_sweet_tight|b0|rk_volr|tp35,95,36.8421052631579,-0.29875578947368425,0.7588984447472416,-26.946234747423237,-41.05970310472532
P28_mild_r1|b35|rk_score|tp35,63,41.26984126984127,-0.3013968253968254,0.7567060240500733,-18.952262469260774,-30.407311728215447
P04_tight3|b0|rk_score|tp35,115,54.78260869565217,-0.47479304347826085,0.7520184392492592,-46.7741615369214,-53.67183001525735
P18_ql_tight|b0|rk_volr|tp35,49,53.06122448979592,-0.36263061224489795,0.7512344546909279,-18.26559759702251,-26.59837339955199
P04_tight3|b0|rk_volr|tp35,115,53.04347826086956,-0.4980878260869565,0.7493292336831253,-48.42229079852935,-62.88081593130948
P24_sweet_tight|b0|rk_score|tp3,95,38.94736842105263,-0.3050052631578947,0.7445616144661584,-27.190079408086298,-37.7428262048897
P24_sweet_tight|b35|rk_volr|tp35,60,36.666666666666664,-0.3039733333333334,0.7383014503733548,-18.047000196991704,-30.537580150645105
P28_mild_r1|b35|rk_score|tp3,63,41.26984126984127,-0.33048888888888894,0.7332222869992504,-20.337380859002675,-30.17319526106338
P26_tri_only|b0|rk_score|tp35,119,52.10084033613445,-0.5826840336134453,0.7239344969803333,-54.66846140228413,-62.85135145793961
P13_r1band|b35|rk_volr|tp35,60,36.666666666666664,-0.38383,0.7170671538281036,-22.409791148291834,-35.364237129765186
P22_ql_r1band|b0|rk_score|tp35,54,48.148148148148145,-0.3056888888888889,0.7157474389683206,-16.58318997127929,-22.052193493878434
P28_mild_r1|b0|rk_volr|tp35,106,41.509433962264154,-0.42663396226415096,0.7119255161659376,-39.27029467036755,-48.619749723146974
P26_tri_only|b35|rk_score|tp35,71,52.11267605633803,-0.6051619718309859,0.7081678894683292,-38.50615961748254,-55.52009954181385
P28_mild_r1|b35|rk_score|tp4,63,39.682539682539684,-0.37184126984126986,0.7021290663845543,-22.472509361657977,-32.91649841353976
P28_mild_r1|b0|rk_score|noTP,106,33.9622641509434,-0.490827358490566,0.7013794663048395,-44.973531301063915,-53.04557720160935
P22_ql_r1band|b35|rk_score|tp35,38,42.10526315789474,-0.3303894736842105,0.6989631988337186,-12.80596150652481,-16.300747528888728
P15_turn38|b0|rk_volr|tp35,75,42.666666666666664,-0.4292026666666666,0.6972419942213929,-29.925186431498563,-41.56710162187003
P27_tight_clv65|b0|rk_score|tp35,111,42.34234234234234,-0.4965189189189189,0.6932246655526773,-45.61425526869115,-59.633297534732286
P29_roc_cap|b0|rk_score|tp35,117,39.31623931623932,-0.4842376068376068,0.6902749737731033,-46.398768857059466,-59.72350912203561
P26_tri_only|b0|rk_volr|tp35,119,49.57983193277311,-0.6404840336134453,0.688671018002669,-57.40397529829595,-66.70658209740013
P23_sweet|b40|rk_score|noTP,63,33.333333333333336,-0.5353365079365079,0.6869054548458998,-32.382254624929075,-34.090368631475755
P29_roc_cap|b0|rk_volr|tp35,117,41.88034188034188,-0.4966188034188034,0.6823889538760918,-47.182225510412565,-60.910943990952134
P27_tight_clv65|b0|rk_score|tp3,111,45.04504504504504,-0.4966315315315315,0.6813162863349995,-45.3287568315175,-56.951184664446174
P26_tri_only|b35|rk_volr|tp35,71,49.29577464788732,-0.6450281690140844,0.6778849298650476,-39.92574234220784,-54.02353814712413
P24_sweet_tight|b35|rk_score|tp3,60,36.666666666666664,-0.3741166666666667,0.6753610193146238,-21.32286691235843,-30.887570328114368
P16_turn412|b35|rk_volr|tp35,56,44.642857142857146,-0.5356964285714285,0.6677424785465242,-28.13408678786179,-39.252750386822875
P27_tight_clv65|b0|rk_score|tp4,111,39.63963963963964,-0.574118018018018,0.6542542282948255,-50.18555258740322,-61.551141510822426
P18_ql_tight|b35|rk_clv|tp35,33,45.45454545454545,-0.4724272727272727,0.6473849202041038,-15.48236814169439,-19.295622451515115
P08_cap10|b0|rk_volr|tp35,98,39.795918367346935,-0.5786775510204082,0.6462851155131979,-45.9834706052241,-55.29437077790931
P18_ql_tight|b0|rk_score|noTP,49,46.93877551020408,-0.5513551020408163,0.6458198684560696,-25.75044212724823,-31.611822072377617
P27_tight_clv65|b0|rk_score|noTP,111,35.13513513513514,-0.6285153153153152,0.6348725184591262,-53.86779464480702,-68.06853013409928
P16_turn412|b0|rk_score|tp35,88,42.04545454545455,-0.6904295454545454,0.6188130955868929,-48.3964080105948,-56.951012903988804
P28_mild_r1|b0|rk_score|tp35,106,37.735849056603776,-0.6089169811320754,0.6080427948293022,-49.94736078433779,-56.36722442588131
P27_tight_clv65|b0|rk_volr|tp35,111,39.63963963963964,-0.6782045045045044,0.5989969690674423,-55.49915427105552,-65.19988289970607
